datetime,tanggal,jam,minute,day_of_week,day_of_month,month,quarter,week_of_year,is_weekend,hari_libur,time_of_day,season,hour_sin,hour_cos,month_sin,month_cos,dow_sin,dow_cos,suhu,jumlah_penghuni,luas_rumah,daya_listrik,golongan_tarif,jumlah_ac,jam_ac_per_hari,jumlah_kulkas,jumlah_tv,jam_tv_per_hari,jumlah_lampu,jam_lampu_per_hari,jumlah_mesin_cuci,frekuensi_cuci_per_minggu,jumlah_komputer,jam_komputer_per_hari,jumlah_perangkat_aktif,jam_pemakaian_per_hari,water_heater,dispenser,microwave,kwh_ac,kwh_kulkas,kwh_tv,kwh_lampu,kwh_mesin_cuci,kwh_komputer,kwh_tambahan,hist_h1,hist_h2,hist_h3,hist_h4,hist_h5,hist_h6,hist_h7,konsumsi_kwh_hari,konsumsi_kw_jam,estimasi_tagihan_bulan
2020-01-01 02:19:00,2020-01-01,2,19,2,1,1,1,1,0,0,4,0,0.5,0.866025,0.5,0.866025,0.974928,-0.222521,27.4,1,90,1300,R-1/TR,2,6,2,3,5,6,6,1,5,0,0,15,6,0,1,0,10.8,4.8,1.05,0.36,0.357,0.0,2.8,22.246,19.558,21.202,20.69,22.583,21.715,16.295,20.928,0.288,907040.0
2020-01-01 02:38:00,2020-01-01,2,38,2,1,1,1,1,0,0,4,0,0.5,0.866025,0.5,0.866025,0.974928,-0.222521,25.0,4,150,2200,R-1/TR,1,5,2,1,3,9,6,1,2,0,0,15,5,0,1,0,4.5,4.8,0.21,0.54,0.143,0.0,2.8,14.795,14.152,12.156,13.028,13.554,13.12,13.79,14.113,0.19,611672.0
2020-01-01 03:36:00,2020-01-01,3,36,2,1,1,1,1,0,0,4,0,0.707107,0.707107,0.5,0.866025,0.974928,-0.222521,26.8,4,60,1300,R-1/TR,1,5,1,1,6,3,6,1,4,0,0,7,5,0,0,0,4.5,2.4,0.42,0.18,0.286,0.0,0.0,9.348,9.709,9.94,9.44,8.855,8.02,8.99,8.974,0.1119,388942.0
2020-01-01 05:07:00,2020-01-01,5,7,2,1,1,1,1,0,0,0,0,0.965926,0.258819,0.5,0.866025,0.974928,-0.222521,25.4,5,36,1300,R-1/TR,0,3,2,1,3,3,8,1,2,2,8,9,3,0,0,0,0.0,4.8,0.21,0.24,0.143,1.92,0.0,7.904,7.66,8.083,7.252,7.791,8.875,9.35,8.654,0.1244,375073.0
2020-01-01 06:20:00,2020-01-01,6,20,2,1,1,1,1,0,0,0,0,1.0,0.0,0.5,0.866025,0.974928,-0.222521,28.4,3,45,3500,R-2/TR,1,6,1,3,6,2,7,1,4,0,0,10,6,0,1,1,5.4,2.4,1.26,0.14,0.286,0.0,3.05,16.244,17.425,15.282,15.612,16.386,16.64,15.824,16.528,0.3322,716340.0
2020-01-01 06:40:00,2020-01-01,6,40,2,1,1,1,1,0,0,0,0,1.0,0.0,0.5,0.866025,0.974928,-0.222521,25.9,1,60,2200,R-1/TR,0,4,1,2,3,5,7,1,2,1,6,12,4,0,1,1,0.0,2.4,0.42,0.35,0.143,0.72,3.05,8.879,7.818,8.224,7.572,7.602,8.854,7.739,8.307,0.1714,360034.0
2020-01-01 06:56:00,2020-01-01,6,56,2,1,1,1,1,0,0,0,0,1.0,0.0,0.5,0.866025,0.974928,-0.222521,27.1,1,36,1300,R-1/TR,0,6,2,3,3,2,6,1,5,1,6,9,6,0,0,0,0.0,4.8,0.63,0.12,0.357,0.72,0.0,8.438,8.095,8.319,8.132,7.654,8.291,8.155,8.191,0.174,355006.0
2020-01-01 07:06:00,2020-01-01,7,6,2,1,1,1,1,0,0,0,0,0.965926,-0.258819,0.5,0.866025,0.974928,-0.222521,27.7,2,60,2200,R-1/TR,0,8,1,1,6,4,5,1,5,2,7,9,8,0,0,0,0.0,2.4,0.42,0.2,0.357,1.68,0.0,5.4,5.721,6.601,5.658,5.623,5.353,6.433,5.573,0.1575,241539.0
2020-01-01 07:59:00,2020-01-01,7,59,2,1,1,1,1,0,0,0,0,0.965926,-0.258819,0.5,0.866025,0.974928,-0.222521,29.6,3,54,1300,R-1/TR,0,8,1,1,5,3,5,1,5,1,2,7,8,0,0,0,0.0,2.4,0.35,0.15,0.357,0.24,0.0,4.122,4.263,4.311,4.295,3.648,4.395,3.974,4.094,0.1194,177438.0
2020-01-01 09:38:00,2020-01-01,9,38,2,1,1,1,1,0,0,1,0,0.707107,-0.707107,0.5,0.866025,0.974928,-0.222521,29.4,4,90,2200,R-1/TR,2,7,2,3,6,7,5,1,2,0,0,17,7,0,1,1,12.6,4.8,1.26,0.35,0.143,0.0,3.05,28.352,25.872,23.858,22.871,26.445,23.675,26.153,24.786,0.8458,1074250.0
